aal;угорь
choral;хорал,церковная песня
chorda;хорда,спинная струна
chordatiere;хордовые
choreograph;хореограф,постановщик танца
choreographie;хореография
choreographisch;хореографический
choreus;хорей
chorführer;руководитель хора
chorhemd;стихарь
chorherr;каноник
choriambisch;хориямбический
choriambus;хориямб
chorist;хорист,певчий
chorkapelle;капелла
chorknabe;мальчик-певчий
chorleiter;дириж,р хора
choromant;хиромант
chorprobe;хоровая репетиция
chorsänger;хорист
chorus;рефрен
chorwerk;хоровое произведение
chowchow;чау-чау,порода собак
chrestomatie;хрестоматия
christ;христианин,христос
christabend;рождественский сочельник
christbaum;рождественская,лка
christbaumschmuck;лочные украшения
christdemokrat;христианский демократ
christengemeinde;христианская община
christenglaube;христианская вера
christenheit;христианский мир
christenlehre;катехизис
christenpflicht;христианский долг
christentum;христианство
christfest;рождество
christianisieren;обращать в христианство
christianisierung;обращение в христианство
christin;христианка
christkind;младенец христос
christlich;христианский
christmarkt;рождественский базар
christrose;морозник,растение
christus;христос,мессия
chrmosom;хромосома
chrom;хром
chromatisch;хроматический
chromatizität;цветность
chromatographie;хроматография
chromatographiekammer;хроматографическая камера
chromatotypie;многокрасочная фототипия
chrombad;ванна для хромирования
chromfarbe;крон,лтая краска
chromgelb;крон,лтая краска
chromgerbung;хромовое дубление
chromhaltig;содержащий хром
chrominanz;цветность
chromleder;хромовая кожа
chromnickelstahl;хромоникелевая сталь
chromolithographie;хромолитография
chromosom;хромосома
chromosomenmutation;хромосомная мутация
chromosomensatz;хромосомный набор
chromosomentheorie;хромосомная теория
chromstahl;хромистая сталь
chromüberzug;хромовое покрытие
chronik;хроника,летопись
chronikalisch;хроникальный
chronisch;хронический
chronist;летописец
chronistisch;летописный
chronofotografie;кинограмма
chronograph;хронограф
chronographie;летописание
chronolgie;хронологическая таблица
chronologe;хронолог
chronologie;хронологическая таблица
chronologisch;хронологический
chronometer;хронометр
chrysantheme;хризантема
chrysoberyll;хризоберилл
chrysolith;хризолит
chrysopras;хризопраз
chural;хурал,в монголии
chuzpe;наглость,бесстыдство
cicero;цицеро,шрифт
cicerone;гид,путеводитель
cinemascope;синемаскоп,кино
cinquecento;чинквеченто,италия
circa;примерно
circe;цирцея
cirkulus vitiosus;порочный круг
cirruswolken;перистые облака
citissime;весьма срочно
cito;срочно
city;сити,деловая часть города
clan;клан
clanverfassung;родовой уклад
clearing;клиринг
clearingabkommen;клиринговое соглашение
clearingverkehr;клиринговые операции
clearingwährung;клиринговая валюта
clever;умный,хитрый,ловкий
cleverneß;разумность
clinch;клинч,бокс
clintz;набивной ситец с глянцем
clique;клика
cliquenwirtschaft;групповщина
clogs;сабо
clou;гвоздь программы
clown;клоун
clownerie;клоунада
clownine;клоунесса
club;клуб
cmoll;до минор
coach;тренер
cockpit;кабина пилота
cocktail;коктейль
cocktailkleid;элегантное короткое платье
cocktailparty;вечеринка
code;кодекс
code ii;код,шифр
codex;кодекс
codieren;кодировать
coeur;черви,масть
coeurfarbe;червонная масть
cognak;коньяк
cognakfarben;золотисто-коричневый
collage;коллаж
college;коллега
college ii;колледж
collie;колли
collier;кол,расцветка
coloir;кулуары
coloradokäfer;колорадский жук
colorempfänger;цветной телевизор
colorfilm;цветная пл,нка
colt;кольт
combo;небольшой джаз
comeback;возвращение
comics;комиксы
commonwealth;содружество
compiler;компилятор
computergesteuert;управляемый эвм
computergrafik;машинная графика
computerisieren;компьютеризировать
computersprache;машинный язык
conference;конферанс
conferencier;конферансье
consultingbetrieb;консультационное бюро
container;контейнер
containeranhänger;прицеп для контейнеров
containerschiff;контейнерное судно
containerverkehr;контейнерные перевозки
copilot;второй пилот
copyright;издательское право
cord;корд
cordhose;вельветовые брюки
corned beef;солонина,консервы
corner;угловой
couch;кушетка
couleur;цвет,масть
coulomb;кулон
countdown;обратный отсч
coup;удар,ловкий ход
coupe;автомобиль-купе
couplet;куплет
coupletsänger;куплетист
coupon;талон
courage;кураж,смелость
couragiert;смелый,бодрый
courmacher;волокита,угодник
cousin;двоюродный брат
cousine;двоюродная сестра
cousine ii;блюдо,франц
covercoat;коверкот,материал
cowboy;ковбой
coyote;койот
cpsteuerung;контурное управление
crackers;крекер,печенье
cracking;крекинг
crawl;кроль
crayon;карандаш
credo;кредо
creme;крем
creme;кремовый
cremefarbe;кремовый цвет
cremefarben;кремового цвета
crescendo;крешендо,музыка
crew;команда,экипаж
crosslauf;кросс
croupier;крупье
crêpe;креп,креповая пряжа
crêpe de chine;крепдешин
csardas;чардаш,танец
cschlüssel;ключ до
cum tempore;на,минут позже
cup;кубок
cupsystem;кубковая система
cure;кюре
curie;кюри
curling;рлинг,спорт на льду
curry;кэрри,пряный порошок
currysoße;пряный соус
currywurst;сосиска с пряным соусом
cut;визитка
cutaway;визитка,сюртук
cutter;монтаж
cutterin;монтажница
cuttern;монтировать
cuttern n;монтаж
cwaffe;химическое оружие
cyrillisch;кириллица
cyrillische schrift;славянская азбука
cäsar;цезарь,кесарь,император
cäsarenwahn;мания величия
d h;то есть
d j;сего года
d m;сего месяца
da;здесь,тут,вот,так как,поскольку
dabei;при этом,к тому же,вместе с тем
dabeibleiben;оставаться
dabeisein;присутствовать
dach;крыша,кровля
dachboden;чердак
dachdecker;кровельщик
dachkammer;мансарда
dachrinne;канавка
dachs m;барсук
dachschindel;короткая стрижка
dachstube;мансарда
dachziegel;черепица
dackel;такса,собака
dadurch;тем,этим,из-за
dafür;за это,зато,вместо
dagegen;напротив,против
daher;оттуда,оттого,и поэтому
dahin;туда,до этого
dahinjagen;легко и быстро нестись
dahinten;позади,за этим
dahinter;позади,сзади
dahlie;георгина,георгин
daktylus;дактиль
damalig;тогдашний
damals;тогда,в то время
dame;женщина,дама
damebrett;шахматная доска
damenhaft;изысканная
damensattel;дамское седло
damespiel;шашки
damit;тем,этим,чтобы
damm;дамба,плотина,насыпь
dampf;пар,дым,чад
dampfbad;баня
dampfen;дымиться,идти,о паре
dampfer;пароход
dampfheizung;паровое отопление
dampfig;парообразный
dampfkessel;паровой кот
dampfschiff;пароход
damspiel;шашки
danach;затем,после,сообразно с этим
dandy;превосходный,пижон,щеголь
daneben;рядом,возле,наряду с этим,кроме того
dank;благодаря
dank m;благодарность
dankbar;благодарный,признательный
dankbarkeit f;благодарность
danke;спасибо,благодарю
danken;благодарить
dann;тогда,потом,затем
daphne;волчеягодник
daran;на это,у этого
darauf;на это,затем
daraus;из этого,отсюда
darbieten;подносить,предлагать
darin;в это,в том,внутри
darlegen;объяснять
darlehen;ссуда
darleihen;занимать,одалживать
darm;кишечник
darmbein;подвздошная кость
darmsaite;струна
darstellen;изображать,представлять,исполнять роль
darstellerin;актриса
darstellung f;изображение,исполнение,роли
darum;поэтому,ради этого
darunter;под ним,среди них,в том числе,ниже
darüber;над этим,об этом
das;это
dasein;присутствовать
dasein;существование
dasein n;бытие
dasjenige;то
dasselbe;то же самое
dateikopf;заголовок файла
daten;данные
datenwort;слово
datieren;датировать,ставить дату
dativ;дательный падеж
dattel;финик
datum;дата,число месяца
dauer;продолжительность
dauerhaft;прочный,добротный
dauern;длиться,продолжаться
dauerstellung;постоянная работа,должность
dauerwelle;перманент
daumen;большой палец
daune;пух,пушинка
daunendecke;пуховое одеяло
daus;туз,игральная кость в,очка,рт,дьявол
davon;от этого,из этого
davonkommen;уходить,избежать
davonlaufen;убегать
davor;перед этим
dazu;на это,кроме этого
dazugeben;добавлять
dazwischen;между,тем временем
dazwischenkommen;вмешиваться
daß;что,чтобы
ddr;гдр
debatte;прения
debet;дебет
debil;дебильный,умственно отсталый
debil;дебил
debütant;дебютант
dechiffrieren;расшифровывать
deck;палуба
decke;одеяло,покрывало,плед,покров
deckel;крышка
decken;накрывать,покрывать,прикрывать
deckmantel;плащ
deckung;покрытие,прикрытие
deduzieren;делать вывод
defekt;испорченный,поврежденный,неисправный
defensiv;оборонительный
definieren;определять,давать определение
definition;определение
definitiv;окончательный
defizit;дефицит,нехватка
deflation;дефляция
deflorieren;лишать девственности
degen;шпага,рапира
degenerieren;вырождаться
degradieren;понижать в должности
dehnbar;эластичный,растяжимый
dehnen;растягивать,вытягивать
dehnung;растяжение
deich;плотина,дамба
dein;твой
deine;твоя
deiner;твой
deinerseits;с твоей стороны
deinetwegen;из-за тебя,ради тебя
dekade;десятилетие
dekan;декан
deklamieren;произносить с пафосом
deklaratorisch;декларативный
deklarieren;объявлять
deklarierter;заявленный
deklination;склонение
deklinieren;склонять
dekodier;расшифровывать
dekorativ;декоративный
dekret;декрет
delegation f;делегация
delegierte;делегат
delegierter;представитель
delikat;приятный,лакомый,деликатный
delikatesse;деликатес,лакомство
delikt;правонарушение,проступок
delphin;дельфин
delta;дельта
demagogie;демагогия
demagogisch;демагогический
dementieren;опубликовать опровержение
dementsprechend;соответственно этому
demgemäß;соответственно этому
demnach;согласно этому,итак
demnächst;скоро,в скором времени,в ближайшее время
demobilisieren;демобилизовать
demographie;демография
demokrat;демократ
demokratie;демократия
demokratisch;демократический
demonstrant;демонстрант
demonstration;демонстрация
demonstrieren;демонстрировать,устраивать демонстрацию
demontieren;разбирать,сносить,демонтировать
demontierend;демонтаж
demoralisieren;деморализовать
demut;покорность,смирение
demütig;смиренный,покорный,безропотный
demütigen;унижать,оскорблять
demütigung;унижение,оскорбление
denkbar;мыслимый,допустимый
denken;думать,мыслить
denken n;мышление
denker;философ
denkmal;памятник
denkmünze;медаль
denkschrift;мемуары,публичное разоблачение
denkspruch;пословица,афоризм
denkweise;образ мыслей
denkwürdig;памятный,знаменательный,достопримечательный
denn;потому что,так как
dennoch;все таки,все же
denunzieren;разоблачать
deo;дезодорант,уничтожающий запах
departement;отдел
deponieren;складывать,хранить
deportation;ссылка
deportieren;высылать,ссылать
depositen;месторождение
depot;депо,склад
deprimieren;подавлять
deprimierend;гнетущий
deprimiert;подавленный,угнетенный
deputieren;делегировать
deputierte;депутат
der;этот,который,кто
derart;такого рода,до того,столь
derartig;подобный,такой,такого рода
derb;крепкий,грубый
derby;дерби
deren;чей
dermaßen;так,таким образом
derselbe;тот же самый
des;предлог родительного падежа
deserteur;дезертир
desertieren;дезертировать
desertion;дезертирство
desgleichen;также
deshalb;поэтому,потому
designer;художник-декоратор
desinfizierte;дезинфицированный
despot;деспот
despotismus;деспотия
dessen;чей
dessert;десерт
destillat;дистиллят,отгон
destillation;перегонка,дистилляция
destillieren;очищать
destillierte;дистиллированный
desto;тем
destruktiv;разрушительный
deswegen;поэтому
detail;деталь,подробность
detaillieren;отмечать
detailliert;детальный,подробный
detektiv;сыщик,агент сыскной полиции,частный детектив
detektor;детектор
determinieren;определять
detonation;детонация,взрыв
detonieren;взрываться,детонировать
deuten;толковать,объяснять
deutlich;отчетливый,ясный,четкий,понятный
deutliches;ясный
deutsch;немецкий
deutsch n;немецкий язык
deutsche;немец,немка
deutschland;германия
deutung;толкование,объяснение
devise;лозунг,девиз
dezember;декабрь
dezent;скромный,незначительный
dezimal;десятичный
dezimalbruch;десятичная дробь
dgl;подобный,такого рода
dia;диапозитив
diabetes;диабет
diagnose;диагноз
diagnostik;диагностика
diagnostisch;диагностический
diagonal;диагональный,по-диагонали
diagonale;диагональ
diaklekt;говор
diakon;дьякон
dialekt;диалект,наречие,говор
dialektik;диалектика
dialektiker;диалектик
dialektisch;диалектический
dialog;диалог,разговор
diamant;алмаз
diameter;диаметр
diametrisch;диаметральный
diarrhöe;понос
diatomisch;двухатомный
dich;себя
dicht;густой,частый,плотный
dichte;густота,плотность
dichten;писать стихи
dichten ii;уплотнять,заделывать
dichter;поэт
dichtkunst;поэзия
dichtung;поэзия
dichtung ii;уплотнение,прокладка
dick;толстый,полный
dicke;толщина
dickhäuter;толстокожее
dickicht;чаща,заросли
dickköpfig;упрямый
dickleibig;дородный
didaktik;дидактика
die;та,те,которая,кто
dieb;вор
diebisch;вороватый
diebstahl;кража,воровство
diejenige;та
diele;прихожая,сени,пол
dienen;служить,годиться
diener;слуга,лакей
dienlich;полезный
dienst;служба,услуга
dienst m;служба,работа,служение,услуга
dienstag;вторник
dienstalter;стаж
dienstbote;прислуга
dienstboten;прислуга
dienstgehilfe;помощник
dienstlich;служебный,официальный
dienstmann;носильщик
dienstmädchen;дева,служанка
dienstpferd;обвинитель
dienstpflichtig;военнообязанный
dienstreise;служебная командировка
dienststelle;агентство,место службы
dies;это
diesel;дизель
dieselbe;та же самая
dieser;этот
diesseits;по эту сторону
diffamieren;клеветать
differenz;разница,разность
differenzieren;дифференцировать,различать
digerieren;переваривать,настаивать
digest;дайджест,тип журнала
digital;цифровой,дигитальный
digitalis;наперстянка
digitalisieren;кодировать аналоговую инф-ю
diktat;диктант,диктовка,диктат
diktator;диктатор
diktatorisch;диктаторский
diktatur;диктатура
diktiere;предписание
diktieren;диктовать
diktion;дикция
dikussion;дискуссия
dilemma;необходимость выбора
dilettant;дилетант,любитель
dilettantisch;дилетантский,по-дилетантски
dill;укроп
diner;обед
ding;вещи,предметы,дела,это
dingen;нанимать
dingsbums;безделушки
diniere;обедать
dinosaurier;динозавр
diplom;диплом
diplom;имеющий ученую степень
diplom ii;дипломированный
diplomat;дипломат
diplomatie;дипломатия
diplomatisch;дипломатический
dir;тебе
direkt;прямой,прямо
direktion;дирекция
direktor;директор
direktorin;директор школы
dirigent;дириж
dirigieren;дирижировать,руководить,направлять
dirne;девка,публичная женщина,деревенская девушка
disharmonie;несоответствие
diskant;сопрано
diskette;дискет,диск
disko;дискотека
diskont;скидка
diskothek;дискотека,фонотека
diskrepant;отличающийся
diskret;тактичный,деликатный,тактично
diskretion;тактичность,деликатность
diskus;диск
diskussion;дискуссия,спор,обсуждение
diskuswerfen;метание диска
diskutabel;спорный
diskutierbar;спорный
diskutieren;обсуждать,спорить,дискутировать
dispensiere;раздавать
disponieren;располагать,распоряжаться
disput;диспут,ссора
disputant;участник диспута
disputation;спор
disputieren;диспут
disqualifizieren;дисквалифицировать
dissident;инакомыслящий
dissonant;нестройный
distanz;расстояние,дистанция
distelfink;щегол
distrikt;район
disziplin;дисциплина
disziplinieren;дисциплинировать
diszipliniert;дисциплинированный
divan;кушетка
divers;различный,разный
dividente;дивиденд
dividierbar;делимый
dividieren;делить
division;деление,дивизия
diwan;диван,кушетка
diät;диета
diätspezialist;диетврач
diätvorschrift;диетический
diözese;епархия
dm;германская,немецкая,марка
doch;но,однако,все-таки,же,ведь
docht;фитиль
dock;док,причал,пристань
dogma;догма
dogmatisch;догматический
dohle;галка
doktor;врач,доктор
dokument;документ,бумага
dokumentation;документация
dolch;кинжал
dolmetscher;переводчик,устный
dom;собор
dominieren;держать мужа под башмаком,господствовать
donau;дунай
donner;гром
donnern;грохотать,греметь
donnerstag;четверг
donnerwetter;гром и молния,рт возьми
doofmann;неумный человек
doppel;копия,двойной
doppelfenster;окно с двойными рамами
doppelgänger;двойной
doppeln;удваивать
doppelpunkt;двоеточие
doppelsinn;двусмысленность
doppelsinnig;двусмысленный
doppelsinnigkeit;двусмысленность
doppelspiel;парная игра,двойная игра
doppelt;двойной,вдвое,вдвойне
doppelwertig;двойственный
doppelzentner;центнер
doppelzüngig;двуличный,двурушнический
dorf;деревня,село
dorfschulze;военно-полицейский,мэр
dorn im auge;соринка в глазу
dorn m;шип,колючка
dornig;колючий
dorren;сохнуть
dorsal;спинной,тыльный
dort;вон тот,там
dorthin;туда
dose;банка,коробка,доза,порция
dosierung;соотношение
dosis;доза
dotation;дотация,приношение,дары
dotieren;обеспечивать доходом
dotierung;вклад
dotter;желток
dozent;доцент,преподаватель вуза
dozentur;лекторство
dr;доктор
drache;дракон
drachen m;бумажный змей
drachme;драхма
draht;проволока,провод
drahten;телеграфировать
drahtlos;беспроволочный
drahtpuppe;марионетка
drahtzange;плоскогубцы
drama;драма,драматическое произведение
dramatiker;драматург
dramatisch;драматический,драматичный
dran;на это,у этого
drang;напор,стремление,порыв
drapieren;драпировать
drastisch;крепкий,грубоватый,радикальный
drauf;на это,затем
draufgeld;задаток
draus;из этого,отсюда
draußen;снаружи,там,вне
drechseln;точить на станке
drechsler;токарь по дереву
dreck;грязь,сор,мусор,дрянь
dreckig;грязный
drehbank;токарный станок
drehbleistift;автоматический карандаш
drehbuch;сценарий
drehen;вертеть,крутить,вращать,поворачивать
drehen ii;снимать кино
dreher;токарь по металлу
drehkreuz;турникет
drehpunkt;центр вращения
drehung;вращение,оборот,поворот
drehzahl;число оборотов
drehzylinder;рабочее колесо
drei;три
dreieck;треугольник
dreifach;тройной,трижды,втрое
dreihundert;триста
dreikönigsfest;богоявление
dreimal;трижды,три раза
dreist;храбрый
dreiviertel;три четверти
dreizehn;тринадцать
dreschen;молотить
drift;дрейф
drill;муштра
drillen;сеять рядами,буравить,муштровать
drin;в нем,внутри,там
dringen;проникать,настаивать
dringend;срочный,неотложный,безотлагательный,спешный
dringlich;крайне необходимый
dringlichkeit;неотложность,срочность
drinnen;внутри
dritt zu;втро
drittel;треть
drittens;в-третьих
droben;наверху
droge;наркотик
drogerie;магазин,аптека,парфюмерия
drohen;угрожать,грозить
drohung;угроза
drollig;забавный,потешный,смешной
droschke;такси
drossel;дроссель
drossel vogel;дрозд
drosselbeere;рябина,калина
drosseln;ограничивать,сокращать,глушить двигатель
druck;давление,нажим
druck ii;печать,издание
druckbuchstabe;литера
drucken;печатать
drucken;отпечаток
drucker;печатающее устройство
druckerei;типография
druckerlaubnis;разрешение цензуры
druckerzeugnis;печатное произведение
druckfehler;опечатка
druckfähigen;пригодный для печатания
druckmaschine;печатная машина
druckmesser;манометр
druckpapier;печатная бумага
drucksache f;бандероль
drucktaste;нажимная кнопка,кнопочный
drucktechnik;книгопечатание
druckvorlage;рукописный
drum;поэтому,ради этого
drunter;под это,среди них
drängeln;бросаться,усилие
drängen;теснить,оттеснять,торопить
dröhnen;греметь,громыхать,гудеть
drüben;там,на другой стороне
drüber;над этим,об этом
drückeberger;лодырь,бездельник
drücken;давить,жать,нажимать
drücker;печатник
drücker;ключ английского замка
drüse;железа
dschungel;джунгли
du;ты
duell;дуэль
duett;дуэт
duft;запах,аромат
duften;пахнуть,издавать аромат
duftend;ароматный
duftig;воздушный,легкий
dulden;терпеть,переносить,допускать
duldsamkeit;воздержанность
dumm;глупый
dummes zeug;пустяки,вздор
dummheit;глупость
dummkopf m;дурак,болван
dumpf;глухой,приглуш,нный
dumpfig;заплесневелый
dunkel;темный
dunkel n;темнота,неясность
dunkelheit;темнота,мрачность,неясность
dunkelkammer;темная комната,фото
dunkeln;темнеть,тускнеть
dunst;испарения,пар,дымка
duplikat;дубликат,копия
durch;через,сквозь
durcharbeiten;прорабатывать
durcharbeiten sich;пробиваться,пробираться
durchaus;совершенно,наверняка,всецело
durchbohren;просверливать,пронзать
durchbrechen;проламывать,пробивать
durchbrechen ii;прорезываться,нарушать
durchbrennen;прожигать,прогорать,перегорать
durchbruch;пролом,прорыв
durchdringen;проникать,пронизывать
durchdrungen;преисполненный,полный
durcheinander n;беспорядок,путаница,неразбериха
durcheinandergeworfen;привести в беспорядок,перепутать
durchfahren;проезжать
durchfahrt;проезд
durchfall;понос,провал,фиаско
durchfallen;провалиться,потерпеть провал
durchfuhr;провоз,транзит
durchführbar;выполнимый,осуществимый
durchführen;проводить,осуществлять,выполнять
durchgang;проход,транзит
durchgangszug;скорый поезд
durchgehen;проходить
durchhalten;продержаться,выдержать до конца
durchkreuzen;зачеркивать,перечеркивать
durchkreuzen ii;пересекать
durchlassen;пропускать
durchlaufen;пробегать,протекать
durchlaufen ii;пробегать,просматривать
durchlaß;проход,решето
durchlesen;прочитывать
durchleuchten;освещать,просвечивать
durchleuchtung;радиоскопия
durchmachen;пройти,кончить,проделать
durchmesser;диаметр
durchnehmen;проходить
durchnässen;пропитанный
durchprügeln;побить,поколотить
durchreise;проезд,проездом
durchschauen;смотреть,рассмотреть
durchschauen ii;видеть насквозь,разгадывать
durchschlafen;проспать
durchschlag;дуршлаг,решето,пробоина
durchschlag ii;машинописная копия
durchschlagen;пробивать,процеживать
durchschnitt;средний уровень,среднее значение
durchschnittlich;средний
durchschnittslinie;линия пересечения
durchschnittsmensch;заурядный человек
durchschnittspunkt;точка пересечения
durchschuß;слизняк
durchsehen;просматривать,проверять
durchsetzen;проводить,осуществлять
durchsetzen ii;пропитывать,пронизывать
durchsetzen sich;добиваться,утверждаться
durchsicht f;просмотр,проверка
durchsichtig;прозрачный
durchsickern;фильтровать жидкость
durchsieben;просеивать
durchstechen;проколоть,проткнуть
durchstreichen;зач,ркивать,переч,ркивать
durchstreichen ii;бродить,блуждать
durchstöbern;обшарить,перерыть,в поисках
durchsuchen;обшарить,проверить,обыскать
durchtrieben;хитрый,пронырливый,продувной
durchwühlen;перерыть,вещи,обшарить,помещение
durchziehen;продевать,прод,ргивать
durchziehen ii;проводить свою линию
durst;жажда
dursten;испытывать жажду
dusche;душ
duschen;мыть под душем
dutzend;дюжина
duzen;обращаться к кому-л,на ты
duzen sich;быть на ты
dynamik;динамика,динамичность
dynamisch;динамический,динамичный
dynamit;динамит
dynastie;династия
dyspepsie;расстройство желудка,расстройство пищеварения
dzug;скорый поезд
dämmen;запруживать,реку
dämmerig;сумеречный
dämmern;смеркаться,рассветать
dämmerung;рассвет,сумерки
dämon;демон
dämpfen;глушить,тушить,гасить звук
däne;датчанин
dänemark;дания
dänisch;датский
dörre;высушивать
dörren;сушить,вялить
döse;бродильный чан
dösen;дремать,клевать носом
düne;дюна
düngemittel;удобрение
düngen;удобрять,вносить удобрения
düngend;удобрение
dünger;минеральное удобрение,навоз
dünkel;самомнение,чванство
dünn;тонкий,худой,худощавый
dünnflüssig;текучий,жидкий
dürfen;сметь,мочь
dürftig;бедный,нуждающийся
dürr;засушливый
dürre;засуха
dürsten;жаждать
dürster;мрачный,угрюмый
düse;сопло,форсунка
düsenflugzeug;реактивный самолет
düster;мрачный
ebbe;отлив
eben;ровный,гладкий,плоский
eben adj;только что,как раз,именно
ebenbild;подобие,портрет
ebenda;там же
ebene;равнина
ebenfalls;тоже,также
ebenmaß;симметрия
ebenso;так же,такой же
ebensoviel;столько же
eber m;кабан,боров
eberesche;рябина
ebnen;выравнивать,ровнять
echo;эхо,отклик,отзвук
echt;настоящий,натуральный,подлинный
echtheit;подлинность,оригинальность
ecke;угол
eckig;прямоугольный,угловатый
eckstein;краеугольный камень
edel;благородный
edelknabe;паж
edelmann;аристократ
edelstein;драгоценный камень
edrölarbeiter;нефтяник
efeu;плющ
effekt;эффект,результат
effekten;ценные бумаги,фонды
effektenmakler;биржевой маклер
effektiv;настоящий
effektvoll;эффектный
eg;ес,европейское сообщество
egal;равный,безразлично,вс,равно
egel;пиявка
egge;борона
egozentrisch;эгоцентричный
egyptisch;египетский
ehe;прежде чем,раньше чем,перед
ehe f;брак,супружество
ehebruch;прелюбодеяние,нарушение супружеской верности
ehedem;прежде
ehefrau;жена,супруга
ehegesetz;закон о браке
eheleute;супруги
ehelich;брачный
ehelichen;сочетаться браком,жениться,выйти замуж
ehemalig;бывший,прежний
ehemaliger;бывший
ehemals;некогда,в прежние времена
ehemann;муж,супруг
ehemündig;достигший брачного возраста
eher;раньше,скорее
ehern;железный,медный,гранитный
ehescheidung;расторжение брака,развод
eheschließung;бракосочетание
ehestand;супружество
ehrbar;почтенный,достойный уважения
ehre;честь,почет
ehren;уважать,ценить,почитать
ehrenamt;поч,тная выборная должность
ehrenamt ii;неоплачиваемая должность
ehrenamtlich;добровольный,на общественных началах
ehrenbürger;поч,тный гражданин
ehrendiplom;поч,тная грамота
ehrengast;поч,тный гость
ehrenhaft;почтенный,честный
ehrenpflicht;долг чести
ehrensache;дело чести
ehrenvoll;почетный,с честью
ehrenwache;поч,тный караул
ehrenwort;честное слово
ehrerbietung;уважение
ehrfurcht;почтение,благоговение
ehrfürchtig;благоговейно
ehrgeiz;честолюбие,тщеславие
ehrgeizig;честолюбивый,тщеславный
ehrlich;честный
ehrlichkeit;честность
ehrlos;бесчестный
ehrsam;почтенный,порядочный
ehrwürdig;почтенный
ei;яйцо
eibe;тис
eiche;дуб
eichel;желудь,трефы,карты
eichelhäher;болтун
eichen;дубовый
eichhörnchen n;белка
eid;клятва
eidbruch;клятвопреступление
eidechse;ящерица
eierkuchen;омлет
eierpflanze;баклажан
eierspeise;яичница
eierstock;яичник
eifer;усердие,рвение,пыл
eifern;усердствовать,горячиться
eifersucht;ревность
eifersüchtig;ревнивый
eifrig;усердный,старательный
eiförmig;яйцевидный
eigen;собственный,свой
eigen sich;подходить,годиться
eigenart;своеобразие,особенность
eigenartig;странный,характерный
eigenheim;особняк,дом
eigenheit;своеобразие,особенность
eigenhändig;собственноручно
eigenliebe;себялюбие
eigenlob;самохвальство
eigenmächtig;самовольный
eigenname;имя собственное
eigennutz;корысть
eigens;главным образом,особенно,специально
eigenschaft;качество,свойство
eigensinn;каприз,причуда
eigensinnig;упрямый,своенравный
eigensucht;эгоистичность
eigentlich;собственно,в сущности,на самом деле
eigentum;собственность
eigentümer;собственник,владелец
eigentümlich;своеобразный,присущий
eigenwechsel;обещающий
eignen;подходить для,годиться
eignung;пригодность,проф
eiland;остров
eilbote;курьер,нарочный
eilbrief;спешное письмо,депеша
eile f;спешка,поспешность,срочность
eileiter;маточная
eilen;спешить,торопиться
eilends;спешно
eilgut;срочный груз
eilig;спешный,поспешный
eilpost;спешная почта
eilzug;скорый поезд
eilzuschlag;доплата за скорость
eimer;ведро
ein;один,неопр,артикль
ein;один
einakter;одноактная пьеса
einander;взаимно,друг друга
einarmig;однорукий
einatmen;вдыхать
einatmung;вдыхание
einbalsamieren;бальзамировать
einband;перепл,скрепляющий
einbauen;встраивать
einbegriffen;включительно
einbehalten;удерживать
einbeinig;одноногий
einberufen;созывать,призывать
einberufung;созыв,призыв,набор
einbetten;вделывать
einbettend;объемлющий
einbettender;залегающий среди пластов
einbeulung;вмятина
einbilden;вообразить
einbildung;воображение,мираж
einbinden;связывать
einblick;взгляд,ознакомление
einbrechen;совершить кражу со взломом
einbrecher;взломщик
einbrennen;выжигать
einbringen;выработка
einbruch;взлом,кража со взломом,вторжение
einbändig;однотомный
einbürgern;дать права гражданства
einbürgern sich;получить гражданство
einbüßen;терять,лишаться,понести ущерб
eindeutig;однозначный,ясный,недвусмысленный
eindringen;проникать,вникать,вторгаться
eindringlich;настоятельный,убедительный
eindringling;захватчик,оккупант
eindruck;впечатление
eindrucksvoll;впечатляющий,эффектный,выразительный
eindämmen;запрудить
eindämmung;насыпь
eine;одна
einer;некоторый,кто-то
einer;целое
einerlei;одинаковый
einerseits;с одной стороны
einfach;простой,несложный
einfachheit;простота
einfahrt;въезд
einfall;вдохновение,идея
einfallen;вторгаться,обрушиваться
einfalt;наивность,простота
einfamilienhaus;одноквартирный дом,особняк
einfarbig;одноцветный
einfassen;обрамлять,окаймлять
einfassung;оправа,кайма,опушка
einfluß;влияние
einflußreich;влиятельный
einflößen;тайно внушать
einfrieren;замерзать,замораживать
einfrierend;замораживающий
einfuhr;ввоз,импорт
einfuhrbewilligung;разрешение на ввоз,лицензия
einfältig;наивный,простодушный
einförmig;единообразный,однообразный
einfügen;вставка
einführen;ввозить,импортировать
einführung;введение
eingabe;жалоба,заявление,ввод данных
eingang;вход
eingangshalle;фойе
eingebaut;установленный внутри,встроенный,вмонтированный
eingeben;давать лекарство,вводить данные
eingebend;проникновение
eingebildet;заносчивый,самоуверенный
eingebildet ii;воображаемый,с самомнением
eingeboren;туземный
eingeborene;туземец,абориген
eingefallen;впалый,ввалившийся,осунувшийся
eingefleischt;закоренелый
eingeführt;установленный,введ,нный,ввез,нный
eingehen;поступать,о товарах,согласиться
eingehend;подробный,обстоятельный,входящий,поступающий
eingeklammert;заключенный в скобки
eingemachte;варенье
eingenommen;предположим,с самомнением
eingepackt;упакованный
eingerechnet;включая,включительно
